,OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN,centroid,nearestStation,start,end,maxTmp,minTmp,avgTmp,avgPrec,avgHdd,avgCdd
46,47,WACOA,COLVILLE AGENCY,RATTLESNAKE CANYON FIRE,079,10486.7618965,2003,UNKNOWN,456801521.0,158290.702743987,POINT (-118.3983183205807 47.87992917029766),"(-121.067222, 48.732778)",2003-07-05,2003-07-05 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
47,48,WAMRP,MOUNT RAINIER NP,REDSTONE FIRE (MOUNT RAINIER COMPLEX),168,46.97740324,2003,UNKNOWN,2046327.5,6460.51128050182,POINT (-121.7220617909481 46.9584142845414),"(-121.726906, 46.879967)",2003-08-21,2003-08-21 00:00:00,290011.0,203397.0,246704.0,2361.9599999999896,168138.0,625.0
48,49,WAOWF,OKAN-WEN NF,SQUARE LAKE FIRE,482,903.30043368,2003,UNKNOWN,39347609.5,42067.1891565,POINT (-121.0808409273925 47.65801865602167),"(-121.333333, 47.283333)",2003-08-26,2003-08-26 00:00:00,282883.0,210049.0,246466.0,1265.779999999993,131413.0,1612.0
49,50,WASPD,SPOKANE BLM,BEEBE,003,4205.59362447,2004,UNKNOWN,183194925.5,115531.072962644,POINT (-119.9400348314715 47.82276184997558),"(-121.067222, 48.732778)",2004-07-04,2004-07-06 00:00:00,57.125891677675035,41.449801849405546,49.287846763540294,0.16369616908850515,16.432100396301188,0.9155878467635403
50,51,WANES,WA DNR - NE REGION,BOTTLE TWO,103,33.38955045,2004,LIGHTNING,1454443.0,6989.5913933926,POINT (-119.9188110294171 48.74649706457382),"(-121.067222, 48.732778)",2004-06-21,2004-06-23 00:00:00,144147.66666666666,104591.66666666667,124369.66666666667,413.05999999999466,41463.666666666664,2310.3333333333335
51,52,WAOWF,OKAN-WEN NF,DEEP HARBOR FIRE (POT PEAK / SISI RIDGE COMPLEX),271,29995.51187816,2004,UNKNOWN,1306599271.0,247462.90776992598,POINT (-120.4549713320763 48.04113235430059),"(-121.067222, 48.732778)",2004-06-19,2004-08-16 00:00:00,7862.6,5705.0,6783.8,22.530545454545162,2261.6545454545453,126.01818181818182
52,53,WAOWF,OKAN-WEN NF,DIRTY FACE PEAK,639,295.32827038,2004,UNKNOWN,12864448.0,14590.7110981991,POINT (-120.8379314937261 47.87854601088426),"(-121.333333, 47.283333)",2004-08-16,2004-08-16 00:00:00,282883.0,210049.0,246466.0,1265.779999999993,131413.0,1612.0
53,54,WACOA,COLVILLE AGENCY,ELMER CITY,218,1928.78592682,2004,CHILDREN,84017578.901,80032.0602759451,POINT (-118.9060622312897 48.0091908750865),"(-121.067222, 48.732778)",2004-07-29,2004-07-29 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
54,55,WAOWF,OKAN-WEN NF,FISCHER,689,16425.33218253,2004,EQUIPMENT USE,715484607.924,188662.90055089298,POINT (-120.5231053998755 47.58813726112978),"(-121.333333, 47.283333)",2004-08-08,2004-08-23 00:00:00,17680.1875,13128.0625,15404.125,79.11124999999956,8213.3125,100.75
55,56,WAOWF,OKAN-WEN NF,FREEZEOUT FIRE (WILLIAMS BUTTE COMPLEX),248,708.04545155,2004,LIGHTNING,30842336.5,91475.40068502171,POINT (-120.9573505733141 48.97748274191207),"(-121.067222, 48.732778)",2004-06-24,2004-08-13 00:00:00,9200.91489361702,6676.063829787234,7938.489361702128,26.365531914893275,2646.6170212765956,147.46808510638297
56,57,WANES,WA DNR - NE REGION,BLUEHOO FIRE (HIGHLANDS COMPLEX),464,10.26878534,2004,UNKNOWN,447306.5,3056.18097650604,POINT (-119.4912528440097 48.8926583823154),"(-121.067222, 48.732778)",2004-08-19,2004-08-19 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
57,58,WACOA,COLVILLE AGENCY,HOPKINS CANYON FIRE (HOPKINS CANYON COMPLEX),143,5071.7412695,2004,UNKNOWN,220924166.0,75793.29481301321,POINT (-119.1607089899343 48.16086123717197),"(-121.067222, 48.732778)",2004-06-26,2004-07-03 00:00:00,61777.57142857143,44825.0,53301.28571428572,177.02571428571198,17770.14285714286,990.1428571428571
58,59,WAOWF,OKAN-WEN NF,ICICLE,443,696.92253057,2004,UNKNOWN,30357824.0,26167.889154986402,POINT (-120.8455062144049 47.59562078690994),"(-121.333333, 47.283333)",2004-07-15,2004-07-23 00:00:00,35360.375,26256.125,30808.25,158.22249999999912,16426.625,201.5
59,60,WASES,WA DNR - SE REGION,LAUDERDALE,543,247.8296494,2004,ARSON,10795416.346,23638.6135677165,POINT (-120.690427934309 47.20070286792062),"(-121.333333, 47.283333)",2004-07-25,2004-07-28 00:00:00,70720.75,52512.25,61616.5,316.44499999999823,32853.25,403.0
60,61,WAOWF,OKAN-WEN NF,MEBEE FIRE (WILLIAMS BUTTE COMPLEX),666,234.37441537,2004,LIGHTNING,10209308.696,15191.285168208,POINT (-120.7992426535718 48.6174270919805),"(-121.067222, 48.732778)",2004-08-10,2004-08-17 00:00:00,54055.375,39221.875,46638.625,154.897499999998,15548.875,866.375
61,62,WANES,WA DNR - NE REGION,MILL CANYON FIRE (MILL CANYON COMPLEX),334,1090.03615537,2004,RECREATION,47481785.0,48130.606042287196,POINT (-118.018939905192 47.73273366405776),"(-121.067222, 48.732778)",2004-08-01,2004-08-05 00:00:00,108110.75,78443.75,93277.25,309.794999999996,31097.75,1732.75
62,63,WASES,WA DNR - SE REGION,MUD LAKE,693,3864.29302832,2004,UNKNOWN,168327931.0,66960.7795244516,POINT (-120.8504815502831 46.79553213768611),"(-121.333333, 47.283333)",2004-08-10,2004-08-14 00:00:00,56576.6,42009.8,49293.2,253.15599999999858,26282.6,322.4
63,64,WAOWF,OKAN-WEN NF,PEEVE FIRE (WILLIAMS BUTTE COMPLEX),UNKNOWN,51.23623571,2004,UNKNOWN,2231841.5,7113.3671360895005,POINT (-120.4181484864644 48.99909301489144),"(-121.067222, 48.732778)",2004-07-30,2004-07-30 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
64,65,WAOWF,OKAN-WEN NF,POT PEAK FIRE (POT PEAK / SISI RIDGE COMPLEX),271,15395.1402249,2004,LIGHTNING,670609625.75,172317.902708391,POINT (-120.3283495732938 47.94120177455209),"(-121.067222, 48.732778)",2004-06-26,2004-08-02 00:00:00,12355.514285714286,8965.0,10660.257142857143,35.4051428571424,3554.0285714285715,198.02857142857144
65,66,WAOWF,OKAN-WEN NF,N/A,271,1.77180461,2004,UNKNOWN,77179.5,1146.5056788559,POINT (-120.2465870755254 47.93172187548159),"(-121.067222, 48.732778)",2004-06-26,2004-06-26 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
66,67,WAOWF,OKAN-WEN NF,RATTLESNAKE PEAK,553,662.25788606,2004,UNKNOWN,28847838.125,50650.243288341,POINT (-121.2427754636271 46.75808368706861),"(-121.670163986, 46.836329988)",2004-07-18,2004-08-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
67,68,WAOWF,OKAN-WEN NF,REECER,062,107.75963673,2004,CAMPFIRE,4693991.0,10990.0621977491,POINT (-120.5823935275232 47.1888596117173),"(-121.333333, 47.283333)",2004-04-27,2004-04-28 00:00:00,141441.5,105024.5,123233.0,632.8899999999965,65706.5,806.0
68,69,WAOWF,OKAN-WEN NF,SISI RIDGE FIRE (POT PEAK / SISI RIDGE COMPLEX),525,343.19843432,2004,LIGHTNING,14949664.0,20513.7092048144,POINT (-120.8166991748586 48.33029878862298),"(-121.067222, 48.732778)",2004-06-19,2004-07-26 00:00:00,12355.514285714286,8965.0,10660.257142857143,35.4051428571424,3554.0285714285715,198.02857142857144
69,70,WAOWF,OKAN-WEN NF,WILLIAMS BUTTE FIRE (WILLIAMS BUTTE COMPLEX),755,1257.84650291,2004,LIGHTNING,54791574.5,32342.702576707,POINT (-120.5422159154135 48.39634298427738),"(-121.067222, 48.732778)",2004-08-16,2004-08-22 00:00:00,61777.57142857143,44825.0,53301.28571428572,177.02571428571198,17770.14285714286,990.1428571428571
70,71,WANES,WA DNR - NE REGION,BURNT BREAD,177,1351.45740167,2005,MISCELLANEOUS,58869248.93895,52872.2520877892,POINT (-119.0635017353987 48.63468772284526),"(-121.067222, 48.732778)",2005-08-06,2005-08-25 00:00:00,21622.15,15688.75,18655.45,61.95899999999919,6219.55,346.55
71,72,WASES,WA DNR - SE REGION,DIRTY FACE FIRE,365,1150.52522308,2005,MISCELLANEOUS,50116678.25,40917.0524081619,POINT (-120.7878802022491 47.84866117596662),"(-121.333333, 47.283333)",2005-07-30,2005-08-07 00:00:00,31431.444444444445,23338.777777777777,27385.11111111111,140.64222222222145,14601.444444444445,179.11111111111111
72,73,WANES,WA DNR - NE REGION,HARKER CANYON,219,1557.29132443,2005,UNKNOWN,67835338.75,54959.6163829392,POINT (-118.0637702163409 47.77398322046547),"(-121.067222, 48.732778)",2005-08-10,2005-08-14 00:00:00,86488.6,62755.0,74621.8,247.83599999999677,24878.2,1386.2
73,74,WASPA,SPOKANE AGENCY,HOT FALLS,UNKNOWN,174.4137027,2005,ARSON,7597430.5,13379.8335885456,POINT (-117.9028596738591 47.84265715128694),"(-121.067222, 48.732778)",2005-07-15,2005-07-15 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
74,75,WASES,WA DNR - SE REGION,LICK CREEK,392,734.67808219,2005,EQUIPMENT USE,32002449.25,30363.9597635077,POINT (-120.893803346372 47.3018753308632),"(-121.333333, 47.283333)",2005-08-04,2005-08-07 00:00:00,70720.75,52512.25,61616.5,316.44499999999823,32853.25,403.0
75,76,WANES,WA DNR - NE REGION,MARTIN ROAD FIRE,346,877.5770755,2005,DEBRIS BURN,38227104.5,39967.9877619529,POINT (-118.1158735209118 48.28966056169248),"(-121.067222, 48.732778)",2005-09-28,2005-09-28 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
76,77,WANES,WA DNR - NE REGION,PEARRYGIN LAKE,089,531.28786895,2005,MISCELLANEOUS,23142807.0,21133.249464306802,POINT (-120.1324046790663 48.50796307155382),"(-121.067222, 48.732778)",2005-07-03,2005-07-07 00:00:00,57.17876504032791,41.488166071664686,49.3334655559963,0.16384767949226284,16.447309268808674,0.9164352770064789
77,78,ORUMF,UMATILLA NF,SCHOOL FIRE,UNKNOWN,49684.75034004,2005,UNKNOWN,2164259067.75,370901.33973148104,POINT (-117.6167500241445 46.28344757824586),"(-121.333333, 47.283333)",2005-08-05,2005-08-16 00:00:00,23573.583333333332,17504.083333333332,20538.833333333332,105.48166666666607,10951.083333333334,134.33333333333334
78,79,WACOA,COLVILLE AGENCY,SECOND HUD,UNKNOWN,4176.06234755,2005,UNKNOWN,181908548.222827,92371.9847281603,POINT (-119.442913758386 48.46327339918434),"(-121.067222, 48.732778)",2005-07-06,2005-07-06 00:00:00,432443.0,313775.0,373109.0,1239.179999999984,124391.0,6931.0
79,80,WANCP,NORTH CASCADES NP,SHADY,UNKNOWN,153.16695794,2005,MISCELLANEOUS,6671926.0,11571.7732104116,POINT (-120.8553294576118 48.41269198293696),"(-121.067222, 48.732778)",2005-07-19,2005-08-02 00:00:00,28829.533333333333,20918.333333333332,24873.933333333334,82.61199999999893,8292.733333333334,462.06666666666666
80,81,WAWFS,WA FIRE SERVICE,BADGER MOUNTAIN FIRE (BADGER MTN COMPLEX),902,13265.63743152,2008,UNKNOWN,577848855.114558,135259.593797116,POINT (-120.2423238509427 47.52865784282724),"(-121.333333, 47.283333)",2008-07-10,2008-07-13 00:00:00,70720.75,52512.25,61616.5,316.44499999999823,32853.25,403.0
81,82,WASPD,SPOKANE BLM,SPUD FIRE,UNKNOWN,123.42634311,2005,UNKNOWN,5376430.0,15872.1286228318,POINT (-118.2139872252764 47.95026935999171),"(-121.067222, 48.732778)",2005-06-28,2005-06-29 00:00:00,216221.5,156887.5,186554.5,619.589999999992,62195.5,3465.5
82,83,WANES,WA DNR - NE REGION,SQUAW CREEK,320,1097.04661729,2005,ELECTRIC FENCE,47787159.5,35882.4760827997,POINT (-120.029565300377 48.10330083818199),"(-121.067222, 48.732778)",2005-09-08,2005-09-11 00:00:00,108110.75,78443.75,93277.25,309.794999999996,31097.75,1732.75
83,84,WAMCR,MID COLUMBIA NWR,WEATHER STATION,UNKNOWN,4914.72714895,2005,MISCELLANEOUS,214084658.267044,74570.9159100282,POINT (-119.7108937710915 46.67771769472606),"(-121.333333, 47.283333)",2005-07-05,2005-07-07 00:00:00,37.39365499008592,27.76589557171183,32.57977528089888,0.16732055518836655,17.371183079973562,0.21308658294778585
84,85,WACOA,COLVILLE AGENCY,WEST LAKE OMAK,UNKNOWN,11264.63688587,2005,EQUIPMENT USE,490685620.0,164770.80893976302,POINT (-119.3843608657314 48.20000971909223),"(-121.067222, 48.732778)",2005-07-12,2005-07-15 00:00:00,108110.75,78443.75,93277.25,309.794999999996,31097.75,1732.75
85,86,WASES,WA DNR - SE REGION,WOOD GULCH,325,5751.16107854,2005,UNKNOWN,250519574.5,111030.640886623,POINT (-120.227320052214 45.81147925506635),"(-121.67333064, 46.602330924)",2005-07-23,2005-07-26 00:00:00,105785.75,71648.0,88716.875,270.6599999999978,26296.0,1071.75
86,87,WAOLP,OLYMPIC NP,BEAR GULCH II,215,797.59432903,2006,UNKNOWN,34743070.0,33627.1444501972,POINT (-123.2924753957126 47.50021724627258),"(-123.25, 47.474664)",2006-07-25,2006-08-28 00:00:00,13112.757575757576,9539.454545454546,11326.10606060606,52.394848484848055,3124.4242424242425,77.60606060606061
87,88,WANES,WA DNR - NE REGION,BISBEE MTN. FIRE,455,485.10347565,2006,MISCELLANEOUS,21131022.875,27739.0920408509,POINT (-118.155610871277 48.61605187811558),"(-121.067222, 48.732778)",2006-09-09,2006-09-11 00:00:00,144147.66666666666,104591.66666666667,124369.66666666667,413.05999999999466,41463.666666666664,2310.3333333333335
88,89,WAOWF,OKAN-WEN NF,CEDAR CREEK (TRIPOD COMPLEX),553,1631.10970282,2006,LIGHTNING,71050854.45075,108173.7111259,POINT (-120.5737827557421 48.52734563674696),"(-121.067222, 48.732778)",2006-08-22,2006-09-13 00:00:00,18801.869565217392,13642.391304347826,16222.130434782608,53.87739130434713,5408.304347826087,301.3478260869565
102,103,WANCP,NORTH CASCADES NP,YAXON,346,6.68998526,2010,LIGHTNING,291414.5921575,2296.8576590922503,POINT (-120.4376678034113 47.46107581344875),"(-121.333333, 47.283333)",2010-07-29,2010-08-02 00:00:00,56576.6,42009.8,49293.2,253.15599999999858,26282.6,322.4
104,105,WASES,WA DNR - SE REGION,COLUMBIA COMPLEX,545,109401.7753911,2006,UNKNOWN,4765522273.89,1367013.44217068,POINT (-117.8027674711995 46.21353750765528),"(-121.333333, 47.283333)",2006-08-21,2006-08-21 00:00:00,282883.0,210049.0,246466.0,1265.779999999993,131413.0,1612.0
105,106,WASPS,WA DNR - SPS REGION,DEWATTO 2,074,61.2668931,2006,ARSON,2668775.1885,9567.117242300561,POINT (-123.0644761386627 47.4401372038871),"(-123.25, 47.474664)",2006-09-02,2006-09-06 00:00:00,86544.2,62960.4,74752.3,345.8059999999972,20621.2,512.2
106,107,WAOWF,OKAN-WEN NF,FLICK CREEK,406,7888.75476548,2006,CAMPFIRE,343632783.049,181931.46672425,POINT (-120.6074148710883 48.2900050171237),"(-121.067222, 48.732778)",2006-07-07,2006-09-14 00:00:00,6359.455882352941,4614.338235294118,5486.89705882353,18.223235294117412,1829.2794117647059,101.92647058823529
107,108,WAMSF,MT. BAKER-SNOQ NF,GREENWATER 7440,341,193.16638966,2006,UNKNOWN,8414294.2765,18690.2042106178,POINT (-121.7224611219373 47.08408821848871),"(-121.726906, 46.879967)",2006-09-02,2006-09-12 00:00:00,26364.636363636364,18490.636363636364,22427.636363636364,214.72363636363542,15285.272727272728,56.81818181818182
108,109,WAYAA,BIA - YAKIMA,JUNGLE BUTTE (JUNGLE BUTTE COMPLEX),098,92.94075285,2006,UNKNOWN,4048483.0,10241.234712637399,POINT (-121.2572381808878 46.1443606684544),"(-121.67333064, 46.602330924)",2006-09-04,2006-09-04 00:00:00,423143.0,286592.0,354867.5,1082.6399999999912,105184.0,4287.0
109,110,WAYAA,BIA - YAKIMA,KLOSE BUTTE (JUNGLE BUTTE COMPLEX),098,36.79927484,2006,UNKNOWN,1602970.0,5733.10994202536,POINT (-121.1392372304092 46.06482758618831),"(-121.67333064, 46.602330924)",2007-09-04,2007-09-04 00:00:00,423143.0,286592.0,354867.5,1082.6399999999912,105184.0,4287.0
110,111,WAYAA,BIA - YAKIMA,PEAVINE RIDGE (JUNGLE BUTTE COMPLEX),098,321.59226433,2006,UNKNOWN,14008503.0,23630.181290663,POINT (-121.2507380107539 46.17506921185101),"(-121.67333064, 46.602330924)",2006-09-04,2006-09-09 00:00:00,70523.83333333333,47765.333333333336,59144.583333333336,180.43999999999855,17530.666666666668,714.5
111,112,WAOWF,OKAN-WEN NF,POLALLIE,634,961.6584334,2006,LIGHTNING,41889673.7995,45950.93099291,POINT (-121.102217313046 47.43338668950648),"(-121.333333, 47.283333)",2006-09-04,2006-09-14 00:00:00,25716.636363636364,19095.363636363636,22406.0,115.07090909090844,11946.636363636364,146.54545454545453
112,113,WANES,WA DNR - NE REGION,QUINN'S MEADOW,422,323.23782876,2006,DEBRIS BURN,14080183.5,23813.4602895479,POINT (-117.7567176419826 48.82035445322353),"(-121.067222, 48.732778)",2006-08-29,2006-09-02 00:00:00,86488.6,62755.0,74621.8,247.83599999999677,24878.2,1386.2
113,114,WAOWF,OKAN-WEN NF,TATOOSH (TATOOSH COMPLEX),547,54331.78201564,2006,UNKNOWN,2366682957.841,703318.834732813,POINT (-120.5445007235214 48.97198656053211),"(-121.067222, 48.732778)",2006-08-22,2006-09-12 00:00:00,19656.5,14262.5,16959.5,56.326363636362906,5654.136363636364,315.04545454545456
