OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,STARTDATE,PERIMDATE,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN
24,WANES,WA DNR - NE REGION,INDIAN DAN FIRE (BREWSTER COMPLEX),333,2001/08/12 00:00:00+00,2001/08/12 00:00:00+00,584.61616996,2001,UNKNOWN,25465778.5,23112.9043613485
25,WAOWF,OKAN-WEN NF,LIBBY SOUTH FIRE,UNKNOWN,2001/07/09 00:00:00+00,2001/07/09 00:00:00+00,3789.27302155,2001,UNKNOWN,165060072.576589,75715.3340154696
26,WAOWF,OKAN-WEN NF,REX CREEK FIRE,UNKNOWN,2001/08/12 00:00:00+00,2001/08/12 00:00:00+00,44581.48303191,2001,UNKNOWN,1941961633,472970.53099302
27,WAGPF,GIFFORD PINCHOT NF,SALT CREEK FIRE (SALT CREEK COMPLEX),090,2001/09/15 00:00:00+00,2001/09/15 00:00:00+00,312.56508176,2001,UNKNOWN,13615280.5,31030.2070535688
28,WANES,WA DNR - NE REGION,PINGSTON,271,2007/07/28 00:00:00+00,2007/07/28 00:00:00+00,126.1982665,2007,UNKNOWN,5497174.5,12280.9296169835
29,WACOA,COLVILLE AGENCY,ABRAHAM CANYON,166,2008/07/10 00:00:00+00,2008/07/13 00:00:00+00,372.33179875,2008,UNKNOWN,16218708.27853,21459.9279836214
30,WASES,WA DNR - SE REGION,SPRUCE DOME COMPLEX,UNKNOWN,2001/08/16 00:00:00+00,2001/08/16 00:00:00+00,2722.11064738,2001,UNKNOWN,118574665.5,114102.018432307
31,WACOA,COLVILLE AGENCY,ST. MARY'S FIRE (VIRGINIA LAKE COMPLEX),132,2001/08/12 00:00:00+00,2001/08/12 00:00:00+00,32978.7297895,2001,UNKNOWN,1436547723.4225,335745.224620086
32,WAOWF,OKAN-WEN NF,TOMMY CREEK FIRE,709,2001/09/16 00:00:00+00,2001/09/16 00:00:00+00,647.1737262,2001,UNKNOWN,28190774.75,41293.4413991273
33,WASES,WA DNR - SE REGION,TOUCHET ROAD,UNKNOWN,2001/08/01 00:00:00+00,2001/08/01 00:00:00+00,258.25443063,2001,UNKNOWN,11249518,16295.7707818378
34,WASES,WA DNR - SE REGION,UNION VALLEY FIRE,366,2001/07/27 00:00:00+00,2001/07/27 00:00:00+00,4523.3080209,2001,UNKNOWN,197034509.25,95576.3877567014
35,WASPD,SPOKANE BLM,DEER MOUNTAIN FIRE,UNKNOWN,2002/08/16 00:00:00+00,2002/08/16 00:00:00+00,2280.88454823,2002,UNKNOWN,99354933.5,52617.8213420216
36,WAOWF,OKAN-WEN NF,DEER POINT FIRE,UNKNOWN,2002/07/15 00:00:00+00,2002/07/15 00:00:00+00,20993.93033698,2002,UNKNOWN,914491947.5,236870.867922614
37,WASES ,WA DNR - SE REGION,EWE NECK FIRE,UNKNOWN,2002/08/01 00:00:00+00,2002/08/01 00:00:00+00,75.9503038,2002,UNKNOWN,3308382,10674.3134605298
38,WANES,WA DNR - NE REGION,BLACK CANYON FIRE,310,2003/08/10 00:00:00+00,2003/08/10 00:00:00+00,2281.36471544,2003,UNKNOWN,99375849.5,67625.6338818602
39,WANES,WA DNR - NE REGION,BULLDOG FIRE,403,2003/09/05 00:00:00+00,2003/09/05 00:00:00+00,411.58409583,2003,UNKNOWN,17928531.5,28466.9253839119
40,WAOWF,OKAN-WEN NF,FAREWELL FIRE (FAWN PEAK COMPLEX),UNKNOWN,2003/06/30 00:00:00+00,2003/06/30 00:00:00+00,81233.40724807,2003,UNKNOWN,3538513065.631,430202.408447805
41,WAOWF,OKAN-WEN NF,FAWN PEAK FIRE (FAWN PEAK COMPLEX),199,2003/06/30 00:00:00+00,2003/06/30 00:00:00+00,74.02080802,2003,UNKNOWN,3224333.5,8643.14500834376
42,WAMSF,MT. BAKER-SNOQ NF,GOLD HILL FIRE (NORTH ZONE COMPLEX),147,2003/08/07 00:00:00+00,2003/08/07 00:00:00+00,169.78598676,2003,UNKNOWN,7395848,16111.6336546386
43,WAOWF,OKAN-WEN NF,MAPLE,467,2003/09/06 00:00:00+00,2003/09/06 00:00:00+00,1626.25142006,2003,UNKNOWN,70839228.5,85591.9350915302
44,WACOA,COLVILLE AGENCY,MCGINNIS FLAT,097,2003/07/18 00:00:00+00,2003/07/18 00:00:00+00,2255.85284801,2003,UNKNOWN,98264557,49410.0006225948
45,WAOWF,OKAN-WEN NF,NEEDLES FIRE,398,2003/09/03 00:00:00+00,2003/09/03 00:00:00+00,19328.21003774,2003,UNKNOWN,841933461.5,285480.365194866
46,WAMRP,MOUNT RAINIER NP,PANTHER FIRE (MOUNT RAINIER COMPLEX),168,2003/08/21 00:00:00+00,2003/08/21 00:00:00+00,43.95596095,2003,UNKNOWN,1914714,6367.03544373455
47,WACOA,COLVILLE AGENCY,RATTLESNAKE CANYON FIRE,079,2003/07/05 00:00:00+00,2003/07/05 00:00:00+00,10486.7618965,2003,UNKNOWN,456801521,158290.702743987
48,WAMRP,MOUNT RAINIER NP,REDSTONE FIRE (MOUNT RAINIER COMPLEX),168,2003/08/21 00:00:00+00,2003/08/21 00:00:00+00,46.97740324,2003,UNKNOWN,2046327.5,6460.51128050182
49,WAOWF,OKAN-WEN NF,SQUARE LAKE FIRE,482,2003/08/26 00:00:00+00,2003/08/26 00:00:00+00,903.30043368,2003,UNKNOWN,39347609.5,42067.1891565
50,WASPD,SPOKANE BLM,BEEBE,003,2004/07/04 00:00:00+00,2004/07/06 00:00:00+00,4205.59362447,2004,UNKNOWN,183194925.5,115531.072962644
51,WANES,WA DNR - NE REGION,BOTTLE TWO,103,2004/06/21 00:00:00+00,2004/06/23 00:00:00+00,33.38955045,2004,LIGHTNING,1454443,6989.5913933926
52,WAOWF,OKAN-WEN NF,DEEP HARBOR FIRE (POT PEAK / SISI RIDGE COMPLEX),271,2004/06/19 00:00:00+00,2004/08/16 00:00:00+00,29995.51187816,2004,UNKNOWN,1306599271,247462.907769926
53,WAOWF,OKAN-WEN NF,DIRTY FACE PEAK,639,2004/08/16 00:00:00+00,2004/08/16 00:00:00+00,295.32827038,2004,UNKNOWN,12864448,14590.7110981991
54,WACOA,COLVILLE AGENCY,ELMER CITY,218,2004/07/29 00:00:00+00,2004/07/29 00:00:00+00,1928.78592682,2004,CHILDREN,84017578.901,80032.0602759451
55,WAOWF,OKAN-WEN NF,FISCHER,689,2004/08/08 00:00:00+00,2004/08/23 00:00:00+00,16425.33218253,2004,EQUIPMENT USE,715484607.924,188662.900550893
56,WAOWF,OKAN-WEN NF,FREEZEOUT FIRE (WILLIAMS BUTTE COMPLEX),248,2004/06/24 00:00:00+00,2004/08/13 00:00:00+00,708.04545155,2004,LIGHTNING,30842336.5,91475.4006850217
57,WANES,WA DNR - NE REGION,BLUEHOO FIRE (HIGHLANDS COMPLEX),464,2004/08/19 00:00:00+00,2004/08/19 00:00:00+00,10.26878534,2004,UNKNOWN,447306.5,3056.18097650604
58,WACOA,COLVILLE AGENCY,HOPKINS CANYON FIRE (HOPKINS CANYON COMPLEX),143,2004/06/26 00:00:00+00,2004/07/03 00:00:00+00,5071.7412695,2004,UNKNOWN,220924166,75793.2948130132
59,WAOWF,OKAN-WEN NF,ICICLE,443,2004/07/15 00:00:00+00,2004/07/23 00:00:00+00,696.92253057,2004,UNKNOWN,30357824,26167.8891549864
60,WASES,WA DNR - SE REGION,LAUDERDALE,543,2004/07/25 00:00:00+00,2004/07/28 00:00:00+00,247.8296494,2004,ARSON,10795416.346,23638.6135677165
61,WAOWF,OKAN-WEN NF,MEBEE FIRE (WILLIAMS BUTTE COMPLEX),666,2004/08/10 00:00:00+00,2004/08/17 00:00:00+00,234.37441537,2004,LIGHTNING,10209308.696,15191.285168208
62,WANES,WA DNR - NE REGION,MILL CANYON FIRE (MILL CANYON COMPLEX),334,2004/08/01 00:00:00+00,2004/08/05 00:00:00+00,1090.03615537,2004,RECREATION,47481785,48130.6060422872
63,WASES,WA DNR - SE REGION,MUD LAKE,693,2004/08/10 00:00:00+00,2004/08/14 00:00:00+00,3864.29302832,2004,UNKNOWN,168327931,66960.7795244516
64,WAOWF,OKAN-WEN NF,PEEVE FIRE (WILLIAMS BUTTE COMPLEX),UNKNOWN,2004/07/30 00:00:00+00,2004/07/30 00:00:00+00,51.23623571,2004,UNKNOWN,2231841.5,7113.3671360895
65,WAOWF,OKAN-WEN NF,POT PEAK FIRE (POT PEAK / SISI RIDGE COMPLEX),271,2004/06/26 00:00:00+00,2004/08/02 00:00:00+00,15395.1402249,2004,LIGHTNING,670609625.75,172317.902708391
66,WAOWF,OKAN-WEN NF,N/A,271,2004/06/26 00:00:00+00,2004/06/26 00:00:00+00,1.77180461,2004,UNKNOWN,77179.5,1146.5056788559
67,WAOWF,OKAN-WEN NF,RATTLESNAKE PEAK,553,2004/07/18 00:00:00+00,2004/08/14 00:00:00+00,662.25788606,2004,UNKNOWN,28847838.125,50650.243288341
68,WAOWF,OKAN-WEN NF,REECER,062,2004/04/27 00:00:00+00,2004/04/28 00:00:00+00,107.75963673,2004,CAMPFIRE,4693991,10990.0621977491
69,WAOWF,OKAN-WEN NF,SISI RIDGE FIRE (POT PEAK / SISI RIDGE COMPLEX),525,2004/06/19 00:00:00+00,2004/07/26 00:00:00+00,343.19843432,2004,LIGHTNING,14949664,20513.7092048144
70,WAOWF,OKAN-WEN NF,WILLIAMS BUTTE FIRE (WILLIAMS BUTTE COMPLEX),755,2004/08/16 00:00:00+00,2004/08/22 00:00:00+00,1257.84650291,2004,LIGHTNING,54791574.5,32342.702576707
71,WANES,WA DNR - NE REGION,BURNT BREAD,177,2005/08/06 00:00:00+00,2005/08/25 00:00:00+00,1351.45740167,2005,MISCELLANEOUS,58869248.93895,52872.2520877892
72,WASES,WA DNR - SE REGION,DIRTY FACE FIRE,365,2005/07/30 00:00:00+00,2005/08/07 00:00:00+00,1150.52522308,2005,MISCELLANEOUS,50116678.25,40917.0524081619
73,WANES,WA DNR - NE REGION,HARKER CANYON,219,2005/08/10 00:00:00+00,2005/08/14 00:00:00+00,1557.29132443,2005,UNKNOWN,67835338.75,54959.6163829392
74,WASPA,SPOKANE AGENCY,HOT FALLS,UNKNOWN,2005/07/15 00:00:00+00,2005/07/15 00:00:00+00,174.4137027,2005,ARSON,7597430.5,13379.8335885456
75,WASES,WA DNR - SE REGION,LICK CREEK,392,2005/08/04 00:00:00+00,2005/08/07 00:00:00+00,734.67808219,2005,EQUIPMENT USE,32002449.25,30363.9597635077
76,WANES,WA DNR - NE REGION,MARTIN ROAD FIRE,346,2005/09/28 00:00:00+00,2005/09/28 00:00:00+00,877.5770755,2005,DEBRIS BURN,38227104.5,39967.9877619529
77,WANES,WA DNR - NE REGION,PEARRYGIN LAKE,089,2005/07/03 00:00:00+00,2005/07/07 00:00:00+00,531.28786895,2005,MISCELLANEOUS,23142807,21133.2494643068
78,ORUMF,UMATILLA NF,SCHOOL FIRE,UNKNOWN,2005/08/05 00:00:00+00,2005/08/16 00:00:00+00,49684.75034004,2005,UNKNOWN,2164259067.75,370901.339731481
79,WACOA,COLVILLE AGENCY,SECOND HUD,UNKNOWN,2005/07/06 00:00:00+00,2005/07/06 00:00:00+00,4176.06234755,2005,UNKNOWN,181908548.222827,92371.9847281603
80,WANCP,NORTH CASCADES NP,SHADY,UNKNOWN,2005/07/19 00:00:00+00,2005/08/02 00:00:00+00,153.16695794,2005,MISCELLANEOUS,6671926,11571.7732104116
81,WAWFS,WA FIRE SERVICE,BADGER MOUNTAIN FIRE (BADGER MTN COMPLEX),902,2008/07/10 00:00:00+00,2008/07/13 00:00:00+00,13265.63743152,2008,UNKNOWN,577848855.114558,135259.593797116
82,WASPD,SPOKANE BLM,SPUD FIRE,UNKNOWN,2005/06/28 00:00:00+00,2005/06/29 00:00:00+00,123.42634311,2005,UNKNOWN,5376430,15872.1286228318
83,WANES,WA DNR - NE REGION,SQUAW CREEK,320,2005/09/08 00:00:00+00,2005/09/11 00:00:00+00,1097.04661729,2005,ELECTRIC FENCE,47787159.5,35882.4760827997
84,WAMCR,MID COLUMBIA NWR,WEATHER STATION,UNKNOWN,2005/07/05 00:00:00+00,2005/07/07 00:00:00+00,4914.72714895,2005,MISCELLANEOUS,214084658.267044,74570.9159100282
85,WACOA,COLVILLE AGENCY,WEST LAKE OMAK,UNKNOWN,2005/07/12 00:00:00+00,2005/07/15 00:00:00+00,11264.63688587,2005,EQUIPMENT USE,490685620,164770.808939763
86,WASES,WA DNR - SE REGION,WOOD GULCH,325,2005/07/23 00:00:00+00,2005/07/26 00:00:00+00,5751.16107854,2005,UNKNOWN,250519574.5,111030.640886623
87,WAOLP,OLYMPIC NP,BEAR GULCH II,215,2006/07/25 00:00:00+00,2006/08/28 00:00:00+00,797.59432903,2006,UNKNOWN,34743070,33627.1444501972
88,WANES,WA DNR - NE REGION,BISBEE MTN. FIRE,455,2006/09/09 00:00:00+00,2006/09/11 00:00:00+00,485.10347565,2006,MISCELLANEOUS,21131022.875,27739.0920408509
89,WAOWF,OKAN-WEN NF,CEDAR CREEK (TRIPOD COMPLEX),553,2006/08/22 00:00:00+00,2006/09/13 00:00:00+00,1631.10970282,2006,LIGHTNING,71050854.45075,108173.7111259
90,WA,UNKNOWN,NINEMILE,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,15044.23400608,1991,UNKNOWN,655324212,262466.060728184
91,WA,UNKNOWN,CHATTAROY,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,4728.47892308,1991,UNKNOWN,205971718,195519.2194165
92,WA,UNKNOWN,UNKNOWN,UNKNOWN,1985/01/01 00:00:00+00,1985/01/01 00:00:00+00,184.77554397,1985,UNKNOWN,8048790.5,13850.2580143408
93,WA,UNKNOWN,PONDEROSA,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,1474.66884633,1991,UNKNOWN,64236318,44536.838310892
94,WA,UNKNOWN,JENNINGS ROAD,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,283.505668,1991,UNKNOWN,12349457.5,17743.3190125517
95,WA,UNKNOWN,NINEMILE RD,UNKNOWN,1996/01/01 00:00:00+00,1996/01/01 00:00:00+00,3019.12954666,1996,UNKNOWN,131512757,118253.2598604
96,WA,UNKNOWN,RAMBO RD,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,268.75578117,1991,UNKNOWN,11706955,22103.2723074454
97,WA,UNKNOWN,GREENBLUFF,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,98.2191027,1991,UNKNOWN,4278407,9548.6410352686
98,WA,UNKNOWN,LEESON PIT,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,146.57213128,1991,UNKNOWN,6384656.5,14159.3078716685
99,WA,UNKNOWN,TEMPLE,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,190.32213411,1991,UNKNOWN,8290399,19270.0869857035
100,WA,UNKNOWN,HOLCOMB,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,744.13699858,1991,UNKNOWN,32414478,30166.5958673184
101,WA,UNKNOWN,TRENT,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,797.31130449,1991,UNKNOWN,34730741.5,41967.7738833178
102,WA,UNKNOWN,HANGMAN,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,131.05694066,1991,UNKNOWN,5708817.5,11726.0692760814
103,WANCP,NORTH CASCADES NP,YAXON,346,2010/07/29 00:00:00+00,2010/08/02 00:00:00+00,6.68998526,2010,LIGHTNING,291414.5921575,2296.85765909225
104,WA,UNKNOWN,HOMESTEAD,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,283.16590539,1991,UNKNOWN,12334657.5,14922.600348567
105,WASES,WA DNR - SE REGION,COLUMBIA COMPLEX,545,2006/08/21 00:00:00+00,2006/08/21 00:00:00+00,109401.7753911,2006,UNKNOWN,4765522273.89,1367013.44217068
106,WASPS,WA DNR - SPS REGION,DEWATTO 2,074,2006/09/02 00:00:00+00,2006/09/06 00:00:00+00,61.2668931,2006,ARSON,2668775.1885,9567.11724230056
107,WAOWF,OKAN-WEN NF,FLICK CREEK,406,2006/07/07 00:00:00+00,2006/09/14 00:00:00+00,7888.75476548,2006,CAMPFIRE,343632783.049,181931.46672425
108,WAMSF,MT. BAKER-SNOQ NF,GREENWATER 7440,341,2006/09/02 00:00:00+00,2006/09/12 00:00:00+00,193.16638966,2006,UNKNOWN,8414294.2765,18690.2042106178
109,WAYAA,BIA - YAKIMA,JUNGLE BUTTE (JUNGLE BUTTE COMPLEX),098,2006/09/04 00:00:00+00,2006/09/04 00:00:00+00,92.94075285,2006,UNKNOWN,4048483,10241.2347126374
110,WAYAA,BIA - YAKIMA,KLOSE BUTTE (JUNGLE BUTTE COMPLEX),098,2007/09/04 00:00:00+00,2007/09/04 00:00:00+00,36.79927484,2006,UNKNOWN,1602970,5733.10994202536
111,WAYAA,BIA - YAKIMA,PEAVINE RIDGE (JUNGLE BUTTE COMPLEX),098,2006/09/04 00:00:00+00,2006/09/09 00:00:00+00,321.59226433,2006,UNKNOWN,14008503,23630.181290663
112,WAOWF,OKAN-WEN NF,POLALLIE,634,2006/09/04 00:00:00+00,2006/09/14 00:00:00+00,961.6584334,2006,LIGHTNING,41889673.7995,45950.93099291
113,WANES,WA DNR - NE REGION,QUINN'S MEADOW,422,2006/08/29 00:00:00+00,2006/09/02 00:00:00+00,323.23782876,2006,DEBRIS BURN,14080183.5,23813.4602895479
114,WAOWF,OKAN-WEN NF,TATOOSH (TATOOSH COMPLEX),547,2006/08/22 00:00:00+00,2006/09/12 00:00:00+00,54331.78201564,2006,UNKNOWN,2366682957.841,703318.834732813
115,WAOWF,OKAN-WEN NF,TINPAN,304,2006/07/07 00:00:00+00,2006/09/14 00:00:00+00,9253.1123814,2006,LIGHTNING,403063963.07325,284800.515522715
116,WANES,WA DNR - NE REGION,VALLEY MILL,298,2006/08/08 00:00:00+00,2006/08/08 00:00:00+00,460.53613966,2006,DEBRIS BURN,20060874,26368.2062774887
117,WAOWF,OKAN-WEN NF,VAN PEAK,638,2006/09/04 00:00:00+00,2006/09/04 00:00:00+00,1815.93883514,2006,LIGHTNING,79101979.25,85314.6100976922
118,WAWFS,WA FIRE SERVICE,LEWIS AND CLARK,1772,2007/06/13 00:00:00+00,2007/06/15 00:00:00+00,752.88580539,2007,EQUIPMENT USE,32795574.5,20866.6293898515
119,WAWFS,WA FIRE SERVICE,HORSE HEAVEN COMPLEX - SIXPRONG,802,2007/07/13 00:00:00+00,2007/07/16 00:00:00+00,20395.00144907,2007,LIGHTNING,888402709.5,247964.660129023
120,WAWFS,WA FIRE SERVICE,HORSE HEAVEN COMPLEX - WOODGULCH,802,2007/07/13 00:00:00+00,2007/07/13 00:00:00+00,7665.65524937,2007,UNKNOWN,333914607,117459.489560026
121,WACOF,COLVILLE NF,CROWN CREEK,092,2007/07/13 00:00:00+00,2007/07/19 00:00:00+00,34.56344748,2007,LIGHTNING,1505577.75,7213.0291072789
122,WANES,WA DNR - NE REGION,MOSES - DNR COMPLEX,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,4440.2636862,1991,UNKNOWN,193417112.5,90036.2434263148
123,WA,UNKNOWN,MARSHALL,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,988.30662769,1991,UNKNOWN,43050464.5,70739.5284136253
124,WA,UNKNOWN,HAPPY HILL,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,624.0279782,1991,UNKNOWN,27182550,25239.1533074947
125,WAMSF,MT. BAKER-SNOQ NF,GOLD HILL,UNKNOWN,2009/07/30 00:00:00+00,2009/08/05 00:00:00+00,18.88934802,2009,UNKNOWN,822816.708365,6030.34435202616
126,WACOA,COLVILLE AGENCY,MILEPOST 281,272,2009/09/01 00:00:00+00,2009/09/03 00:00:00+00,310.06666942,2009,MISCELLANEOUS,13506450.094137,15679.2499412272
127,WA,UNKNOWN,EXCELSIOR ROAD,UNKNOWN,1987/01/01 00:00:00+00,1987/01/01 00:00:00+00,1255.68839052,1987,UNKNOWN,54697567.5,52648.1172330526
128,WA,UNKNOWN,SALNAVE,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,463.60812165,1991,UNKNOWN,20194689,24364.8285853942
129,WA,UNKNOWN,SPRINGDALE,UNKNOWN,1991/08/01 00:00:00+00,1991/08/01 00:00:00+00,628.65719782,1991,UNKNOWN,27384198,32241.286818876
130,WAWFS,WA FIRE SERVICE,BROWNS CANYON FIRE (BADGER MTN COMPLEX),902,2008/07/09 00:00:00+00,2008/07/14 00:00:00+00,1782.34822885,2008,MISCELLANEOUS,77638778.2927585,45355.9500435516
131,WAWFS,WA FIRE SERVICE,BAIRD SPRINGS,812,2008/06/15 00:00:00+00,2008/06/16 00:00:00+00,3645.75496607,2008,UNKNOWN,158808451.0861,67348.1266188573
132,WACOA,COLVILLE AGENCY,COLUMBIA RIVER ROAD,205,2008/08/07 00:00:00+00,2008/08/13 00:00:00+00,22155.09265476,2008,ARSON,965071975.74198,224055.507505252
133,WACOA,COLVILLE AGENCY,FRENCH VALLEY,165,2008/07/10 00:00:00+00,2008/07/13 00:00:00+00,1366.42475276,2008,UNKNOWN,59521224.1448145,49252.6725405531
134,WANES,WA DNR - NE REGION,GREEN LAKE,595,2008/07/31 00:00:00+00,2008/08/01 00:00:00+00,1350.32718303,2008,STRUCTURE FIRE,58820016.811837,36273.6643369838
135,WAMCR,MID COLUMBIA NWR,INCIDENT 262,0061,2008/07/27 00:00:00+00,2008/07/27 00:00:00+00,3142.16921166,2008,UNKNOWN,136872343.36901,54149.810888724
136,WAOWF,OKAN-WEN NF,JACK CREEK,481,2008/08/10 00:00:00+00,2008/08/19 00:00:00+00,1057.71002699,2008,LIGHTNING,46073664.48048,38594.3378765026
137,WANES,WA DNR - NE REGION,JACKASS BUTTE (RATTLESNAKE POINT COMPLEX),193,2008/07/01 00:00:00+00,2008/07/04 00:00:00+00,1765.70079189,2008,LIGHTNING,76913618.8394625,43888.4565919824
138,WANES,WA DNR - NE REGION,RATTLESNAKE POINT COMPLEX,193,2008/07/01 00:00:00+00,2008/07/01 00:00:00+00,752.53378316,2008,UNKNOWN,32780240.473232,29932.428381424
139,WAWFS,WA FIRE SERVICE,ROCK LAKE,910,2008/08/18 00:00:00+00,2008/08/19 00:00:00+00,2287.50288034,2008,UNKNOWN,99643226.8935555,86207.5327182018
140,WAWFS,WA FIRE SERVICE,SEEP LAKES,813,2008/06/29 00:00:00+00,2008/06/30 00:00:00+00,1901.06872278,2008,MISCELLANEOUS,82810222.322295,66657.0701258865
141,WANES,WA DNR - NE REGION,SPOKANE VALLEY,378,2008/07/10 00:00:00+00,2008/07/13 00:00:00+00,1005.79276005,2008,UNKNOWN,43812157.378674,35497.9154127391
142,WANES,WA DNR - NE REGION,SWANSON LAKE,866,2008/08/18 00:00:00+00,2008/08/26 00:00:00+00,18038.73104031,2008,UNKNOWN,785763981.05036,335668.382660988
