,OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN,nearestStation,start,end,max_temperature,min_temperature,avg_temperature,departure_temperature,hdd,cdd,percipitation
28,29,WACOA,COLVILLE AGENCY,ABRAHAM CANYON,166,372.33179875,2008,UNKNOWN,16218708.27853,21459.9279836214,"(-121.067222, 48.732778)",2008-07-10,2008-07-13 00:00:00,81.5,51.75,66.625,66.625,1.5,3.25,0.0
29,30,WASES,WA DNR - SE REGION,SPRUCE DOME COMPLEX,UNKNOWN,2722.11064738,2001,UNKNOWN,118574665.5,114102.01843230701,"(-121.67333064, 46.602330924)",2001-08-16,2001-08-16 00:00:00,71.0,60.0,65.5,65.5,0.0,1.0,0.0
30,31,WACOA,COLVILLE AGENCY,ST. MARY'S FIRE (VIRGINIA LAKE COMPLEX),132,32978.7297895,2001,UNKNOWN,1436547723.4225,335745.224620086,"(-121.067222, 48.732778)",2001-08-12,2001-08-12 00:00:00,91.0,60.0,75.5,75.5,0.0,11.0,0.0
31,32,WAOWF,OKAN-WEN NF,TOMMY CREEK FIRE,709,647.1737262,2001,UNKNOWN,28190774.75,41293.4413991273,"(-121.067222, 48.732778)",2001-09-16,2001-09-16 00:00:00,80.0,54.0,67.0,67.0,0.0,2.0,0.0
32,33,WASES,WA DNR - SE REGION,TOUCHET ROAD,UNKNOWN,258.25443063,2001,UNKNOWN,11249518.0,16295.7707818378,"(-121.333333, 47.283333)",2001-08-01,2001-08-01 00:00:00,62.0,44.0,53.0,53.0,12.0,0.0,0.0
33,34,WASES,WA DNR - SE REGION,UNION VALLEY FIRE,366,4523.3080209,2001,UNKNOWN,197034509.25,95576.3877567014,"(-121.067222, 48.732778)",2001-07-27,2001-07-27 00:00:00,82.0,55.0,68.5,68.5,0.0,4.0,0.0
34,35,WASPD,SPOKANE BLM,DEER MOUNTAIN FIRE,UNKNOWN,2280.88454823,2002,UNKNOWN,99354933.5,52617.8213420216,"(-121.067222, 48.732778)",2002-08-16,2002-08-16 00:00:00,86.0,60.0,73.0,73.0,0.0,8.0,0.0
35,36,WAOWF,OKAN-WEN NF,DEER POINT FIRE,UNKNOWN,20993.93033698,2002,UNKNOWN,914491947.5,236870.867922614,"(-121.067222, 48.732778)",2002-07-15,2002-07-15 00:00:00,76.0,54.0,65.0,65.0,0.0,0.0,0.0
36,37,WASES ,WA DNR - SE REGION,EWE NECK FIRE,UNKNOWN,75.9503038,2002,UNKNOWN,3308382.0,10674.3134605298,"(-121.67333064, 46.602330924)",2002-08-01,2002-08-01 00:00:00,79.0,43.0,61.0,61.0,4.0,0.0,0.0
37,38,WANES,WA DNR - NE REGION,BLACK CANYON FIRE,310,2281.36471544,2003,UNKNOWN,99375849.5,67625.63388186021,"(-121.067222, 48.732778)",2003-08-10,2003-08-10 00:00:00,84.0,57.0,70.5,70.5,0.0,6.0,0.04
38,39,WANES,WA DNR - NE REGION,BULLDOG FIRE,403,411.58409583,2003,UNKNOWN,17928531.5,28466.9253839119,"(-121.067222, 48.732778)",2003-09-05,2003-09-05 00:00:00,87.0,56.0,71.5,71.5,0.0,7.0,0.0
39,40,WAOWF,OKAN-WEN NF,FAREWELL FIRE (FAWN PEAK COMPLEX),UNKNOWN,81233.40724807,2003,UNKNOWN,3538513065.631,430202.40844780504,"(-121.067222, 48.732778)",2003-06-30,2003-06-30 00:00:00,86.0,57.0,71.5,71.5,0.0,7.0,0.03
40,41,WAOWF,OKAN-WEN NF,FAWN PEAK FIRE (FAWN PEAK COMPLEX),199,74.02080802,2003,UNKNOWN,3224333.5,8643.145008343761,"(-121.067222, 48.732778)",2003-06-30,2003-06-30 00:00:00,86.0,57.0,71.5,71.5,0.0,7.0,0.03
41,42,WAMSF,MT. BAKER-SNOQ NF,GOLD HILL FIRE (NORTH ZONE COMPLEX),147,169.78598676,2003,UNKNOWN,7395848.0,16111.633654638601,"(-121.7395, 47.8681)",2003-08-07,2003-08-07 00:00:00,78.0,51.0,64.5,64.5,0.0,0.0,0.0
42,43,WAOWF,OKAN-WEN NF,MAPLE,467,1626.25142006,2003,UNKNOWN,70839228.5,85591.9350915302,"(-121.067222, 48.732778)",2003-09-06,2003-09-06 00:00:00,90.0,56.0,73.0,73.0,0.0,8.0,0.0
43,44,WACOA,COLVILLE AGENCY,MCGINNIS FLAT,097,2255.85284801,2003,UNKNOWN,98264557.0,49410.0006225948,"(-121.067222, 48.732778)",2003-07-18,2003-07-18 00:00:00,85.0,52.0,68.5,68.5,0.0,4.0,0.0
44,45,WAOWF,OKAN-WEN NF,NEEDLES FIRE,398,19328.21003774,2003,UNKNOWN,841933461.5,285480.36519486597,"(-121.067222, 48.732778)",2003-09-03,2003-09-03 00:00:00,84.0,59.0,71.5,71.5,0.0,7.0,0.0
46,47,WACOA,COLVILLE AGENCY,RATTLESNAKE CANYON FIRE,079,10486.7618965,2003,UNKNOWN,456801521.0,158290.702743987,"(-121.067222, 48.732778)",2003-07-05,2003-07-05 00:00:00,75.0,56.0,65.5,65.5,0.0,1.0,0.0
48,49,WAOWF,OKAN-WEN NF,SQUARE LAKE FIRE,482,903.30043368,2003,UNKNOWN,39347609.5,42067.1891565,"(-121.333333, 47.283333)",2003-08-26,2003-08-26 00:00:00,59.0,47.0,53.0,53.0,12.0,0.0,0.0
49,50,WASPD,SPOKANE BLM,BEEBE,003,4205.59362447,2004,UNKNOWN,183194925.5,115531.072962644,"(-121.067222, 48.732778)",2004-07-04,2004-07-06 00:00:00,77.33333333333333,55.0,66.16666666666667,66.16666666666667,0.0,1.3333333333333333,0.0
50,51,WANES,WA DNR - NE REGION,BOTTLE TWO,103,33.38955045,2004,LIGHTNING,1454443.0,6989.5913933926,"(-121.067222, 48.732778)",2004-06-21,2004-06-23 00:00:00,91.66666666666667,56.666666666666664,74.16666666666667,74.16666666666667,0.0,9.333333333333334,0.0
51,52,WAOWF,OKAN-WEN NF,DEEP HARBOR FIRE (POT PEAK / SISI RIDGE COMPLEX),271,29995.51187816,2004,UNKNOWN,1306599271.0,247462.90776992598,"(-121.067222, 48.732778)",2004-06-19,2004-08-16 00:00:00,83.16949152542372,57.05084745762712,70.11016949152543,70.11016949152543,0.7796610169491526,6.11864406779661,0.01305084745762712
52,53,WAOWF,OKAN-WEN NF,DIRTY FACE PEAK,639,295.32827038,2004,UNKNOWN,12864448.0,14590.7110981991,"(-121.333333, 47.283333)",2004-08-16,2004-08-16 00:00:00,76.0,58.0,67.0,67.0,0.0,2.0,0.0
53,54,WACOA,COLVILLE AGENCY,ELMER CITY,218,1928.78592682,2004,CHILDREN,84017578.901,80032.0602759451,"(-121.067222, 48.732778)",2004-07-29,2004-07-29 00:00:00,90.0,60.0,75.0,75.0,0.0,10.0,0.0
54,55,WAOWF,OKAN-WEN NF,FISCHER,689,16425.33218253,2004,EQUIPMENT USE,715484607.924,188662.90055089298,"(-121.333333, 47.283333)",2004-08-08,2004-08-23 00:00:00,79.0,58.9375,68.96875,68.96875,1.375,5.625,0.08562499999999999
55,56,WAOWF,OKAN-WEN NF,FREEZEOUT FIRE (WILLIAMS BUTTE COMPLEX),248,708.04545155,2004,LIGHTNING,30842336.5,91475.40068502171,"(-121.067222, 48.732778)",2004-06-24,2004-08-13 00:00:00,81.88235294117646,56.86274509803921,69.37254901960785,69.37254901960785,0.9019607843137255,5.490196078431373,0.015098039215686275
56,57,WANES,WA DNR - NE REGION,BLUEHOO FIRE (HIGHLANDS COMPLEX),464,10.26878534,2004,UNKNOWN,447306.5,3056.18097650604,"(-121.067222, 48.732778)",2004-08-19,2004-08-19 00:00:00,86.0,61.0,73.5,73.5,0.0,9.0,0.0
57,58,WACOA,COLVILLE AGENCY,HOPKINS CANYON FIRE (HOPKINS CANYON COMPLEX),143,5071.7412695,2004,UNKNOWN,220924166.0,75793.29481301321,"(-121.067222, 48.732778)",2004-06-26,2004-07-03 00:00:00,80.0,55.125,67.5625,67.5625,0.125,3.0,0.0
58,59,WAOWF,OKAN-WEN NF,ICICLE,443,696.92253057,2004,UNKNOWN,30357824.0,26167.889154986402,"(-121.333333, 47.283333)",2004-07-15,2004-07-23 00:00:00,79.11111111111111,60.22222222222222,69.66666666666667,69.66666666666667,1.1111111111111112,6.0,0.014444444444444446
59,60,WASES,WA DNR - SE REGION,LAUDERDALE,543,247.8296494,2004,ARSON,10795416.346,23638.6135677165,"(-121.333333, 47.283333)",2004-07-25,2004-07-28 00:00:00,76.0,55.0,65.5,65.5,0.5,1.5,0.0
60,61,WAOWF,OKAN-WEN NF,MEBEE FIRE (WILLIAMS BUTTE COMPLEX),666,234.37441537,2004,LIGHTNING,10209308.696,15191.285168208,"(-121.067222, 48.732778)",2004-08-10,2004-08-17 00:00:00,93.875,61.75,77.8125,77.8125,0.0,13.125,0.0
61,62,WANES,WA DNR - NE REGION,MILL CANYON FIRE (MILL CANYON COMPLEX),334,1090.03615537,2004,RECREATION,47481785.0,48130.606042287196,"(-121.067222, 48.732778)",2004-08-01,2004-08-05 00:00:00,83.0,57.6,70.3,70.3,0.0,5.6,0.03
62,63,WASES,WA DNR - SE REGION,MUD LAKE,693,3864.29302832,2004,UNKNOWN,168327931.0,66960.7795244516,"(-121.333333, 47.283333)",2004-08-10,2004-08-14 00:00:00,89.2,66.2,77.7,77.7,0.0,13.0,0.0
63,64,WAOWF,OKAN-WEN NF,PEEVE FIRE (WILLIAMS BUTTE COMPLEX),UNKNOWN,51.23623571,2004,UNKNOWN,2231841.5,7113.3671360895005,"(-121.067222, 48.732778)",2004-07-30,2004-07-30 00:00:00,87.0,61.0,74.0,74.0,0.0,9.0,0.0
64,65,WAOWF,OKAN-WEN NF,POT PEAK FIRE (POT PEAK / SISI RIDGE COMPLEX),271,15395.1402249,2004,LIGHTNING,670609625.75,172317.902708391,"(-121.067222, 48.732778)",2004-06-26,2004-08-02 00:00:00,82.13157894736842,56.78947368421053,69.46052631578948,69.46052631578948,0.7631578947368421,5.447368421052632,0.005526315789473684
65,66,WAOWF,OKAN-WEN NF,N/A,271,1.77180461,2004,UNKNOWN,77179.5,1146.5056788559,"(-121.067222, 48.732778)",2004-06-26,2004-06-26 00:00:00,72.0,59.0,65.5,65.5,0.0,1.0,0.0
67,68,WAOWF,OKAN-WEN NF,REECER,062,107.75963673,2004,CAMPFIRE,4693991.0,10990.0621977491,"(-121.333333, 47.283333)",2004-04-27,2004-04-28 00:00:00,53.5,30.5,42.0,42.0,22.5,0.0,0.0
68,69,WAOWF,OKAN-WEN NF,SISI RIDGE FIRE (POT PEAK / SISI RIDGE COMPLEX),525,343.19843432,2004,LIGHTNING,14949664.0,20513.7092048144,"(-121.067222, 48.732778)",2004-06-19,2004-07-26 00:00:00,82.07894736842105,56.10526315789474,69.09210526315789,69.09210526315789,0.7631578947368421,5.078947368421052,0.005526315789473684
69,70,WAOWF,OKAN-WEN NF,WILLIAMS BUTTE FIRE (WILLIAMS BUTTE COMPLEX),755,1257.84650291,2004,LIGHTNING,54791574.5,32342.702576707,"(-121.067222, 48.732778)",2004-08-16,2004-08-22 00:00:00,84.42857142857143,60.285714285714285,72.35714285714286,72.35714285714286,0.0,7.714285714285714,0.12571428571428572
70,71,WANES,WA DNR - NE REGION,BURNT BREAD,177,1351.45740167,2005,MISCELLANEOUS,58869248.93895,52872.2520877892,"(-121.067222, 48.732778)",2005-08-06,2005-08-25 00:00:00,82.5,56.65,69.575,69.575,0.6,5.5,0.024
71,72,WASES,WA DNR - SE REGION,DIRTY FACE FIRE,365,1150.52522308,2005,MISCELLANEOUS,50116678.25,40917.0524081619,"(-121.333333, 47.283333)",2005-07-30,2005-08-07 00:00:00,76.11111111111111,54.888888888888886,65.5,65.5,1.8888888888888888,2.5555555555555554,0.0
72,73,WANES,WA DNR - NE REGION,HARKER CANYON,219,1557.29132443,2005,UNKNOWN,67835338.75,54959.6163829392,"(-121.067222, 48.732778)",2005-08-10,2005-08-14 00:00:00,81.4,58.6,70.0,70.0,0.2,5.4,0.0
73,74,WASPA,SPOKANE AGENCY,HOT FALLS,UNKNOWN,174.4137027,2005,ARSON,7597430.5,13379.8335885456,"(-121.067222, 48.732778)",2005-07-15,2005-07-15 00:00:00,82.0,55.0,68.5,68.5,0.0,4.0,0.0
74,75,WASES,WA DNR - SE REGION,LICK CREEK,392,734.67808219,2005,EQUIPMENT USE,32002449.25,30363.9597635077,"(-121.333333, 47.283333)",2005-08-04,2005-08-07 00:00:00,79.25,58.75,69.0,69.0,0.0,4.0,0.0
75,76,WANES,WA DNR - NE REGION,MARTIN ROAD FIRE,346,877.5770755,2005,DEBRIS BURN,38227104.5,39967.9877619529,"(-121.067222, 48.732778)",2005-09-28,2005-09-28 00:00:00,71.0,42.0,56.5,56.5,8.0,0.0,0.0
76,77,WANES,WA DNR - NE REGION,PEARRYGIN LAKE,089,531.28786895,2005,MISCELLANEOUS,23142807.0,21133.249464306802,"(-121.067222, 48.732778)",2005-07-03,2005-07-07 00:00:00,73.8,53.0,63.4,63.4,2.8,1.2,0.048
77,78,ORUMF,UMATILLA NF,SCHOOL FIRE,UNKNOWN,49684.75034004,2005,UNKNOWN,2164259067.75,370901.33973148104,"(-121.333333, 47.283333)",2005-08-05,2005-08-16 00:00:00,74.16666666666667,54.583333333333336,64.375,64.375,2.25,1.75,0.0016666666666666668
78,79,WACOA,COLVILLE AGENCY,SECOND HUD,UNKNOWN,4176.06234755,2005,UNKNOWN,181908548.222827,92371.9847281603,"(-121.067222, 48.732778)",2005-07-06,2005-07-06 00:00:00,80.0,56.0,68.0,68.0,0.0,3.0,0.24
79,80,WANCP,NORTH CASCADES NP,SHADY,UNKNOWN,153.16695794,2005,MISCELLANEOUS,6671926.0,11571.7732104116,"(-121.067222, 48.732778)",2005-07-19,2005-08-02 00:00:00,84.13333333333334,55.666666666666664,69.9,69.9,0.3333333333333333,5.466666666666667,0.018000000000000002
80,81,WAWFS,WA FIRE SERVICE,BADGER MOUNTAIN FIRE (BADGER MTN COMPLEX),902,13265.63743152,2008,UNKNOWN,577848855.114558,135259.593797116,"(-121.333333, 47.283333)",2008-07-10,2008-07-13 00:00:00,70.25,49.0,59.625,59.625,5.0,0.0,0.0
81,82,WASPD,SPOKANE BLM,SPUD FIRE,UNKNOWN,123.42634311,2005,UNKNOWN,5376430.0,15872.1286228318,"(-121.067222, 48.732778)",2005-06-28,2005-06-29 00:00:00,62.0,55.5,58.75,58.75,6.0,0.0,0.035
82,83,WANES,WA DNR - NE REGION,SQUAW CREEK,320,1097.04661729,2005,ELECTRIC FENCE,47787159.5,35882.4760827997,"(-121.067222, 48.732778)",2005-09-08,2005-09-11 00:00:00,69.5,49.0,59.25,59.25,5.5,0.0,0.1325
83,84,WAMCR,MID COLUMBIA NWR,WEATHER STATION,UNKNOWN,4914.72714895,2005,MISCELLANEOUS,214084658.267044,74570.9159100282,"(-121.333333, 47.283333)",2005-07-05,2005-07-07 00:00:00,65.66666666666667,49.0,57.333333333333336,57.333333333333336,7.666666666666667,0.0,0.09999999999999999
84,85,WACOA,COLVILLE AGENCY,WEST LAKE OMAK,UNKNOWN,11264.63688587,2005,EQUIPMENT USE,490685620.0,164770.80893976302,"(-121.067222, 48.732778)",2005-07-12,2005-07-15 00:00:00,74.5,55.25,64.875,64.875,1.0,1.25,0.0
85,86,WASES,WA DNR - SE REGION,WOOD GULCH,325,5751.16107854,2005,UNKNOWN,250519574.5,111030.640886623,"(-121.67333064, 46.602330924)",2005-07-23,2005-07-26 00:00:00,83.0,51.75,67.375,67.375,0.0,2.5,0.0
86,87,WAOLP,OLYMPIC NP,BEAR GULCH II,215,797.59432903,2006,UNKNOWN,34743070.0,33627.1444501972,"(-123.25, 47.474664)",2006-07-25,2006-08-28 00:00:00,76.34285714285714,52.08571428571429,64.21428571428571,64.21428571428571,1.9428571428571428,1.3428571428571427,0.0
87,88,WANES,WA DNR - NE REGION,BISBEE MTN. FIRE,455,485.10347565,2006,MISCELLANEOUS,21131022.875,27739.0920408509,"(-121.067222, 48.732778)",2006-09-09,2006-09-11 00:00:00,72.66666666666667,52.0,62.333333333333336,62.333333333333336,2.3333333333333335,0.0,0.0
88,89,WAOWF,OKAN-WEN NF,CEDAR CREEK (TRIPOD COMPLEX),553,1631.10970282,2006,LIGHTNING,71050854.45075,108173.7111259,"(-121.067222, 48.732778)",2006-08-22,2006-09-13 00:00:00,80.26086956521739,54.17391304347826,67.21739130434783,67.21739130434783,1.4782608695652173,3.9565217391304346,0.0008695652173913044
102,103,WANCP,NORTH CASCADES NP,YAXON,346,6.68998526,2010,LIGHTNING,291414.5921575,2296.8576590922503,"(-121.333333, 47.283333)",2010-07-29,2010-08-02 00:00:00,67.6,50.0,58.8,58.8,6.0,0.0,0.052000000000000005
104,105,WASES,WA DNR - SE REGION,COLUMBIA COMPLEX,545,109401.7753911,2006,UNKNOWN,4765522273.89,1367013.44217068,"(-121.333333, 47.283333)",2006-08-21,2006-08-21 00:00:00,80.0,53.0,66.5,66.5,0.0,2.0,0.0
105,106,WASPS,WA DNR - SPS REGION,DEWATTO 2,074,61.2668931,2006,ARSON,2668775.1885,9567.117242300561,"(-123.25, 47.474664)",2006-09-02,2006-09-06 00:00:00,81.6,50.6,66.1,66.1,0.2,1.4,0.0
106,107,WAOWF,OKAN-WEN NF,FLICK CREEK,406,7888.75476548,2006,CAMPFIRE,343632783.049,181931.46672425,"(-121.067222, 48.732778)",2006-07-07,2006-09-14 00:00:00,80.66666666666667,55.18840579710145,67.92753623188406,67.92753623188406,1.2028985507246377,4.391304347826087,0.011884057971014493
108,109,WAYAA,BIA - YAKIMA,JUNGLE BUTTE (JUNGLE BUTTE COMPLEX),098,92.94075285,2006,UNKNOWN,4048483.0,10241.234712637399,"(-121.67333064, 46.602330924)",2006-09-04,2006-09-04 00:00:00,84.0,54.0,69.0,69.0,0.0,4.0,0.0
109,110,WAYAA,BIA - YAKIMA,KLOSE BUTTE (JUNGLE BUTTE COMPLEX),098,36.79927484,2006,UNKNOWN,1602970.0,5733.10994202536,"(-121.67333064, 46.602330924)",2007-09-04,2007-09-04 00:00:00,71.0,62.0,66.5,66.5,0.0,2.0,0.0
110,111,WAYAA,BIA - YAKIMA,PEAVINE RIDGE (JUNGLE BUTTE COMPLEX),098,321.59226433,2006,UNKNOWN,14008503.0,23630.181290663,"(-121.67333064, 46.602330924)",2006-09-04,2006-09-09 00:00:00,78.5,48.666666666666664,63.583333333333336,63.583333333333336,2.0,1.0,0.0
111,112,WAOWF,OKAN-WEN NF,POLALLIE,634,961.6584334,2006,LIGHTNING,41889673.7995,45950.93099291,"(-121.333333, 47.283333)",2006-09-04,2006-09-14 00:00:00,67.9090909090909,49.36363636363637,58.63636363636363,58.63636363636363,6.636363636363637,0.36363636363636365,0.046363636363636364
112,113,WANES,WA DNR - NE REGION,QUINN'S MEADOW,422,323.23782876,2006,DEBRIS BURN,14080183.5,23813.4602895479,"(-121.067222, 48.732778)",2006-08-29,2006-09-02 00:00:00,75.0,50.8,62.9,62.9,4.6,2.8,0.0
113,114,WAOWF,OKAN-WEN NF,TATOOSH (TATOOSH COMPLEX),547,54331.78201564,2006,UNKNOWN,2366682957.841,703318.834732813,"(-121.067222, 48.732778)",2006-08-22,2006-09-12 00:00:00,80.22727272727273,54.18181818181818,67.20454545454545,67.20454545454545,1.5454545454545454,4.0,0.0009090909090909091
114,115,WAOWF,OKAN-WEN NF,TINPAN,304,9253.1123814,2006,LIGHTNING,403063963.07325,284800.515522715,"(-121.067222, 48.732778)",2006-07-07,2006-09-14 00:00:00,80.66666666666667,55.18840579710145,67.92753623188406,67.92753623188406,1.2028985507246377,4.391304347826087,0.011884057971014493
115,116,WANES,WA DNR - NE REGION,VALLEY MILL,298,460.53613966,2006,DEBRIS BURN,20060874.0,26368.2062774887,"(-121.067222, 48.732778)",2006-08-08,2006-08-08 00:00:00,91.0,58.0,74.5,74.5,0.0,10.0,0.0
116,117,WAOWF,OKAN-WEN NF,VAN PEAK,638,1815.93883514,2006,LIGHTNING,79101979.25,85314.6100976922,"(-121.067222, 48.732778)",2006-09-04,2006-09-04 00:00:00,91.0,58.0,74.5,74.5,0.0,10.0,0.0
117,118,WAWFS,WA FIRE SERVICE,LEWIS AND CLARK,1772,752.88580539,2007,EQUIPMENT USE,32795574.5,20866.6293898515,"(-121.333333, 47.283333)",2007-06-13,2007-06-15 00:00:00,51.0,39.666666666666664,45.333333333333336,45.333333333333336,19.333333333333332,0.0,0.06999999999999999
118,119,WAWFS,WA FIRE SERVICE,HORSE HEAVEN COMPLEX - SIXPRONG,802,20395.00144907,2007,LIGHTNING,888402709.5,247964.66012902302,"(-121.67333064, 46.602330924)",2007-07-13,2007-07-16 00:00:00,88.0,63.25,75.625,75.625,0.0,11.0,0.0
119,120,WAWFS,WA FIRE SERVICE,HORSE HEAVEN COMPLEX - WOODGULCH,802,7665.65524937,2007,UNKNOWN,333914607.0,117459.48956002599,"(-121.67333064, 46.602330924)",2007-07-13,2007-07-13 00:00:00,83.0,60.0,71.5,71.5,0.0,7.0,0.0
120,121,WACOF,COLVILLE NF,CROWN CREEK,092,34.56344748,2007,LIGHTNING,1505577.75,7213.0291072789005,"(-121.067222, 48.732778)",2007-07-13,2007-07-19 00:00:00,81.71428571428571,59.285714285714285,70.5,70.5,0.2857142857142857,6.142857142857143,0.06
124,125,WAMSF,MT. BAKER-SNOQ NF,GOLD HILL,UNKNOWN,18.88934802,2009,UNKNOWN,822816.708365,6030.344352026161,"(-121.7462513, 48.5392813)",2009-07-30,2009-08-05 00:00:00,88.57142857142857,59.57142857142857,74.07142857142857,74.07142857142857,0.0,9.428571428571429,0.0
125,126,WACOA,COLVILLE AGENCY,MILEPOST 281,272,310.06666942,2009,MISCELLANEOUS,13506450.094137,15679.249941227199,"(-121.067222, 48.732778)",2009-09-01,2009-09-03 00:00:00,82.0,56.333333333333336,69.16666666666667,69.16666666666667,0.0,4.666666666666667,0.2733333333333334
129,130,WAWFS,WA FIRE SERVICE,BROWNS CANYON FIRE (BADGER MTN COMPLEX),902,1782.34822885,2008,MISCELLANEOUS,77638778.2927585,45355.9500435516,"(-121.333333, 47.283333)",2008-07-09,2008-07-14 00:00:00,71.16666666666667,49.333333333333336,60.25,60.25,4.5,0.0,0.0
130,131,WAWFS,WA FIRE SERVICE,BAIRD SPRINGS,812,3645.75496607,2008,UNKNOWN,158808451.0861,67348.12661885729,"(-121.333333, 47.283333)",2008-06-15,2008-06-16 00:00:00,59.0,39.0,49.0,49.0,15.5,0.0,0.0
131,132,WACOA,COLVILLE AGENCY,COLUMBIA RIVER ROAD,205,22155.09265476,2008,ARSON,965071975.74198,224055.507505252,"(-121.067222, 48.732778)",2008-08-07,2008-08-13 00:00:00,80.14285714285714,55.57142857142857,67.85714285714286,67.85714285714286,1.4285714285714286,4.428571428571429,0.011428571428571429
132,133,WACOA,COLVILLE AGENCY,FRENCH VALLEY,165,1366.42475276,2008,UNKNOWN,59521224.1448145,49252.672540553096,"(-121.067222, 48.732778)",2008-07-10,2008-07-13 00:00:00,81.5,51.75,66.625,66.625,1.5,3.25,0.0
133,134,WANES,WA DNR - NE REGION,GREEN LAKE,595,1350.32718303,2008,STRUCTURE FIRE,58820016.811837,36273.664336983806,"(-121.067222, 48.732778)",2008-07-31,2008-08-01 00:00:00,69.0,50.5,59.75,59.75,5.0,0.0,0.325
134,135,WAMCR,MID COLUMBIA NWR,INCIDENT 262,0061,3142.16921166,2008,UNKNOWN,136872343.36901,54149.810888723994,"(-121.333333, 47.283333)",2008-07-27,2008-07-27 00:00:00,56.0,48.0,52.0,52.0,13.0,0.0,0.2
135,136,WAOWF,OKAN-WEN NF,JACK CREEK,481,1057.71002699,2008,LIGHTNING,46073664.48048,38594.3378765026,"(-121.333333, 47.283333)",2008-08-10,2008-08-19 00:00:00,73.6,55.5,64.55,64.55,4.8,4.7,0.053000000000000005
136,137,WANES,WA DNR - NE REGION,JACKASS BUTTE (RATTLESNAKE POINT COMPLEX),193,1765.70079189,2008,LIGHTNING,76913618.8394625,43888.4565919824,"(-121.067222, 48.732778)",2008-07-01,2008-07-04 00:00:00,87.25,57.75,72.5,72.5,0.0,7.75,0.0675
137,138,WANES,WA DNR - NE REGION,RATTLESNAKE POINT COMPLEX,193,752.53378316,2008,UNKNOWN,32780240.473232,29932.428381424,"(-121.067222, 48.732778)",2008-07-01,2008-07-01 00:00:00,97.0,57.0,77.0,77.0,0.0,12.0,0.04
138,139,WAWFS,WA FIRE SERVICE,ROCK LAKE,910,2287.50288034,2008,UNKNOWN,99643226.8935555,86207.5327182018,"(-121.333333, 47.283333)",2008-08-18,2008-08-19 00:00:00,63.0,50.5,56.75,56.75,8.0,0.0,0.255
